fid,cellcode,bati_mean,bati_media,morska_mea,morska_med,geometry
1,10kmE459N247,-22.85031274718259,-24.053720474243164,4.316477033291193,5,"list(c(258762.0729, 259581.7252, 269539.1633, 268719.1862, 258762.0729, 5020890.1552, 5030875.9293, 5030034.1304, 5020049.1307, 5020890.1552))"
2,10kmE459N248,-14.658725714109336,-20.217507362365723,4.252519596864501,5,"list(c(259581.7252, 260402.4217, 270360.1786, 269539.1633, 259581.7252, 5030875.9293, 5040861.1324, 5040018.5615, 5030034.1304, 5030875.9293))"
3,10kmE459N249,-15.782044714145325,-19.992979049682617,3.396168108776267,5,"list(c(260402.4217, 261224.1606, 271182.2303, 270360.1786, 260402.4217, 5040861.1324, 5050845.7709, 5050002.4304, 5040018.5615, 5040861.1324))"
4,10kmE460N244,-26.199867529120716,-31.856821060180664,4.501990269792127,5,"list(c(266265.5004, 267082.3531, 277038.2934, 276221.0947, 266265.5004, 4990090.6562, 5000077.4001, 4999236.6672, 4989250.687, 4990090.6562))"
5,10kmE460N245,-15.933482776829234,-16.325159072875977,3.089992242048099,1,"list(c(267082.3531, 267900.249, 277856.5293, 277038.2934, 267082.3531, 5000077.4001, 5010063.5561, 5009222.062, 4999236.6672, 5000077.4001))"
6,10kmE460N246,0.020305023206798,-3.424482107162476,2.783042394014962,1,"list(c(267900.249, 268719.1862, 278675.8007, 277856.5293, 267900.249, 5010063.5561, 5020049.1307, 5019206.8778, 5009222.062, 5010063.5561))"
7,10kmE460N247,11.264292790316029,6.734861850738525,1.757679180887372,1,"list(c(268719.1862, 269539.1633, 279496.1059, 278675.8007, 268719.1862, 5020049.1307, 5030034.1304, 5029191.1211, 5019206.8778, 5020049.1307))"
9,10kmE460N249,2.289219174368808,-0.129238374531269,1,1,"list(c(270360.1786, 271182.2303, 281139.8114, 280317.4434, 270360.1786, 5040018.5615, 5050002.4304, 5049157.9159, 5039174.7983, 5040018.5615))"
10,10kmE461N242,-29.168996914926595,-33.94949913024902,4.786572731040199,5,"list(c(274589.8152, 275404.9347, 285359.6947, 284544.2138, 274589.8152, 4969276.9449, 4979264.1151, 4978423.6066, 4968437.1869, 4969276.9449))"
11,10kmE461N243,-16.229148979057427,-20.57458209991455,3.982549684924867,5,"list(c(275404.9347, 276221.0947, 286176.21, 285359.6947, 275404.9347, 4979264.1151, 4989250.687, 4988409.4305, 4978423.6066, 4979264.1151))"
12,10kmE461N244,12.826965732898026,11.118611812591553,1.918539325842697,1,"list(c(276221.0947, 277038.2934, 286993.7581, 286176.21, 276221.0947, 4989250.687, 4999236.6672, 4998394.6651, 4988409.4305, 4989250.687))"
13,10kmE461N245,22.886808020547775,16.48575210571289,1.244897959183674,1,"list(c(277038.2934, 277856.5293, 287812.3375, 286993.7581, 277038.2934, 4999236.6672, 5009222.062, 5008379.3167, 4998394.6651, 4999236.6672))"
18,10kmE462N241,-38.62947674524462,-39.298728942871094,4.873081708834508,5,"list(c(283729.7691, 284544.2138, 294498.1568, 293683.3414, 283729.7691, 4958450.165, 4968437.1869, 4967596.1009, 4957609.8138, 4958450.165))"
19,10kmE462N242,-14.454636779326197,-13.532021045684814,3.174301675977654,5,"list(c(284544.2138, 285359.6947, 295314.0023, 294498.1568, 284544.2138, 4968437.1869, 4978423.6066, 4977581.7882, 4967596.1009, 4968437.1869))"
20,10kmE462N243,22.67942804682916,23.075225830078125,1.070796460176991,1,"list(c(285359.6947, 286176.21, 296130.8764, 295314.0023, 285359.6947, 4978423.6066, 4988409.4305, 4987566.8822, 4977581.7882, 4978423.6066))"
